Unnamed: 0,ticker,date,c_x,change,v,change3,change4,change5,change6,change7,change8,change9,change10,change11,change12,change13,change14,h_y,v_y,oneminvol_y,stddev,count,day_ratio_15,lo_breakout,Predictions_change3
821,LAC,2021-05-06,12.33,-0.74460167,5841363,0,7.461476,4.622871,3.649635,7.623682,14.517437,9.570154,12.570965,12.327656,12.246553,15.085158,16.78832,0,23,1,676.7413,37018,2,5.0,0.3781234
807,BLNK,2021-05-06,32.27,0.7499279,2828917,0,-3.9355438,-6.042764,-5.794856,-2.2311745,5.794856,2.0452433,3.253796,5.7638674,6.4146266,3.3467617,8.149984,0,4,0,453.94174,34100,4,8.0,0.37655342
838,WKHS,2021-05-06,9.61,-1.0018215,20234872,0,-12.382935,-16.961498,-14.047867,-13.215401,-4.2663894,-5.4110303,-3.9542143,-8.220604,-11.342352,-11.654527,-2.7055151,0,13,19,1648.7856,129594,5,22.0,0.37641063
838,RIOT,2021-05-06,33.45,0.08192245,14595140,0,-11.509716,-19.431988,-19.880419,-26.696562,-19.880419,-27.115097,-20.538116,-23.886398,-21.375187,-22.690582,-14.409567,0,1,1,510.36487,131253,4,4.0,0.37623522
229,NKLA,2021-05-06,10.14,7.8694816,15909146,1,24.753452,26.035503,25.049309,32.74162,39.546352,32.24852,29.092703,27.514793,21.499014,23.274162,28.698225,2,7,8,1606.5398,84507,3,8.0,0.37485835
838,AMC,2021-05-06,9.0,2.508179,40099750,1,18.11111,57.77778,59.333332,59.77778,63.0,47.88889,44.333332,42.666668,55.11111,85.22222,121.666664,0,5,2,2222.8672,302068,2,17.0,0.37476927
534,TIGR,2021-05-06,17.14,0.7534984,6410141,0,-2.4504085,-6.8261375,-0.52508754,0.9334889,6.067678,4.900817,5.8926487,4.025671,3.4422405,22.52042,30.92182,0,5,0,811.16394,37227,3,15.0,0.37429655
838,MSTR,2021-05-06,609.08,-0.109070495,355195,0,-5.1356144,-10.854075,-14.030997,-17.989428,-17.209562,-24.724174,-19.058252,-19.933342,-21.478294,-21.21232,-18.567347,0,0,0,153.98415,16365,4,14.0,0.3740012
838,FCEL,2021-05-06,7.93,-0.5980861,24211567,0,2.9003782,-0.8827238,-0.3783102,2.1437578,9.205548,7.566204,10.8448925,13.871374,13.997478,9.457755,21.059269,0,7,0,1973.632,112519,37,15.0,0.37388188
614,PHIO,2021-05-06,2.19,0.44247788,1143773,0,0.0,-7.305936,-10.045662,-6.849315,-4.109589,-4.5662103,-5.479452,-1.826484,-2.739726,-3.196347,-0.456621,0,0,0,1026.854,3031,3,10.0,0.3735602
400,OCGN,2021-05-06,9.58,-3.4830432,83460456,0,10.960334,-3.4446764,-8.141962,-4.9060545,0.10438413,-3.5490606,-2.192067,-3.131524,-9.08142,-9.707725,-17.954071,0,0,1,1603.8679,319096,6,5.0,0.37349653
210,MGNI,2021-05-06,32.24,-2.2779043,4671086,0,-14.143921,-14.640199,-20.843672,-20.130274,-14.85732,-15.477668,-7.940447,-6.575682,-3.8771713,-3.7531018,-4.466501,0,29,32,1344.7416,38640,14,31.0,0.3714726
838,DNN,2021-05-06,1.15,1.6666666,22068239,0,0.8695652,-2.6086957,0.0,3.4782608,5.2173915,3.4782608,4.347826,7.826087,2.6086957,1.7391304,2.6086957,0,0,0,3771.1233,23706,3,23.0,0.3706763
838,CLVS,2021-05-06,5.67,0.51194537,4918697,0,7.0546737,3.8800704,5.820106,6.70194,2.1164021,-2.6455026,-2.9982364,-4.7619047,-7.9365077,-8.641975,-9.523809,0,0,0,3032.799,23083,2,31.0,0.37032682
838,VUZI,2021-05-06,19.9,0.24061598,4346562,0,-17.889448,-16.73367,-19.246231,-19.296482,-13.165829,-17.839195,-16.281406,-14.422111,-16.432161,-11.507538,-3.517588,0,1,2,577.5835,31032,5,2.0,0.37001854
356,GRWG,2021-05-06,40.65,-0.85267645,1357167,0,-2.0418205,-4.305043,0.5658057,-0.44280443,0.024600247,-4.698647,-2.583026,-3.4932349,-6.371464,-0.9102091,6.199262,0,1,16,408.9707,18106,4,22.0,0.36990577
838,CVM,2021-05-06,19.86,-0.61291844,897483,0,10.271903,6.2437057,14.350453,8.257805,1.6616315,1.5609264,3.977845,8.207452,5.2870092,3.7260826,9.063444,0,2,2,1892.6821,8090,3,42.0,0.36898482
807,AI,2021-05-06,56.34,0.23833844,2755824,0,-3.1238906,-5.058573,-6.9577565,-4.703585,4.721335,3.3013844,5.946042,10.330138,10.205893,8.182464,9.14093,0,1,0,724.5018,37328,13,1.0,0.36623794
838,INO,2021-05-06,6.51,0.0,7707005,0,1.3824885,-1.6897081,3.2258065,5.376344,11.827957,9.21659,9.831029,10.445469,11.674347,11.981566,13.824884,0,1,1,3026.4329,30503,3,8.0,0.36605662
838,RIG,2021-05-06,3.59,1.1267606,13430406,0,17.270195,10.306407,13.649025,17.270195,18.941504,9.749304,8.077994,8.6350975,8.356546,7.520891,6.128134,0,0,0,4828.1665,24698,13,28.0,0.36490354
838,ATOS,2021-05-06,2.36,-1.2396694,12988282,1,17.79661,8.898305,27.118645,44.067795,44.915253,39.40678,41.949154,44.067795,39.40678,37.711864,35.59322,0,0,4,1694.5316,26342,4,4.0,0.36326826
838,ENPH,2021-05-06,121.94,-0.7408575,5159322,0,-1.0168935,-0.56585205,-1.4761358,-1.8533705,3.501722,7.2658687,16.95916,18.91094,18.976545,17.360998,18.386091,0,1,1,1165.2211,79339,3,7.0,0.36235386
838,MVIS,2021-05-06,14.0,0.41436464,15059717,0,3.0,-0.35714287,2.4285715,8.5,16.214285,4.428571,3.5,3.9285715,4.571429,14.214286,19.642857,0,0,0,715.9841,89361,7,83.0,0.36217213
838,MARA,2021-05-06,31.4,1.6691505,13903816,0,-16.210192,-28.025478,-23.598726,-28.312101,-23.980892,-30.636942,-22.707006,-27.388535,-25.828026,-25.828026,-17.420382,0,0,1,576.9383,111573,6,4.0,0.36116603
838,TGTX,2021-05-06,39.85,-0.45805207,1971501,0,-5.646173,-7.6537013,-12.220828,-14.027603,-9.91217,-15.257215,-15.608532,-15.10665,-14.203262,-11.0665,-13.023839,0,6,0,902.588,22404,9,4.0,0.36072206
838,IVR,2021-05-06,3.63,-1.5789474,16650811,0,-2.7548208,-3.581267,-2.2038567,-1.6528926,2.2038567,-1.3774104,-1.6528926,-1.9283746,-2.2038567,-1.6528926,-0.5509642,0,32,13,2953.407,34112,12,12.0,0.36018348
838,GSAT,2021-05-06,1.23,3.3333333,9923934,0,-8.9430895,-7.3170733,-4.878049,12.195122,16.260162,11.382113,26.01626,30.0813,22.764227,17.073172,24.390244,0,0,0,5170.6323,23038,14,7.0,0.35960972
476,CRWD,2021-05-06,187.07,-0.89008486,4903490,0,4.5063343,3.0897524,2.2879136,2.9080024,6.5430055,6.7782116,9.78778,12.786657,15.101299,15.7801895,20.478966,0,9,1,970.8485,83514,7,9.0,0.3594513
